City	Population Density (Persons/Square Mile)	2016 Population	Land Area (Square Miles)
Suffolk, Virginia	223	89,273	400
Asheville, North Carolina	1,984	89,121	45
Livermore, California	3,541	89,115	25
Newton, Massachusetts	4,991	89,045	18
Fall River, Massachusetts	2,684	88,930	33
Menifee, California	1,905	88,531	46
Indio, California	3,032	88,488	29
Norwalk, Connecticut	3,869	88,438	23
Waukegan, Illinois	3,725	88,182	24
Sugar Land, Texas	2,723	88,177	32
Fort Smith, Arkansas	1,422	88,133	62
Hawthorne, California	14,479	88,031	6
Nashua, New Hampshire	2,849	87,882	31
Chino, California	2,961	87,776	30
Kirkland, Washington	8,128	87,701	11
Edinburg, Texas	2,329	87,650	38
Reading, Pennsylvania	8,864	87,575	10
Bellingham, Washington	3,234	87,574	27
Citrus Heights, California	6,144	87,432	14
Whittier, California	5,931	86,883	15
Ogden, Utah	3,200	86,701	27
Newport Beach, California	3,642	86,688	24
Champaign, Illinois	3,863	86,637	22
Duluth, Minnesota	1,273	86,293	68
O'Fallon, Missouri	2,956	86,274	29
Clifton, New Jersey	7,624	85,845	11
Alhambra, California	11,202	85,474	8
Bloomington, Minnesota	2,460	85,319	35
Palm Coast, Florida	947	85,109	90
Danbury, Connecticut	2,029	84,992	42
Hoover, Alabama	1,802	84,978	47
Redwood City, California	4,374	84,950	19
Bloomington, Indiana	3,647	84,465	23
Hemet, California	3,026	84,281	28
Mount Pleasant, South Carolina	1,867	84,170	45
Trenton, New Jersey	10,988	84,056	8
Santa Fe, New Mexico	1,824	83,875	46
Johns Creek, Georgia	2,729	83,873	31
Fayetteville, Arkansas	1,557	83,826	54
Troy, Michigan	2,499	83,641	33
Mission, Texas	2,458	83,563	34
Bryan, Texas	1,875	83,260	44
Lake Forest, California	4,671	83,240	18
Buena Park, California	7,905	83,156	11
Largo, Florida	4,714	83,065	18
Cicero, Illinois	14,162	82,992	6
Avondale, Arizona	1,818	82,881	46
Sioux City, Iowa	1,445	82,872	57
Merced, California	3,542	82,594	23
St. George, Utah	1,169	82,318	70
Conroe, Texas	1,561	82,286	53
Pleasanton, California	3,412	82,270	24
Longview, Texas	1,473	82,055	56
Medford, Oregon	3,173	81,636	26
Warwick, Rhode Island	2,328	81,579	35
Westland, Michigan	3,993	81,545	20
Somerville, Massachusetts	19,738	81,322	4
Melbourne, Florida	2,398	81,185	34
Lakewood, California	8,623	81,138	9
Farmington Hills, Michigan	2,438	81,129	33
Cranston, Rhode Island	2,859	81,034	28
Kennewick, Washington	2,988	80,454	27
Mountain View, California	6,704	80,447	12
Napa, California	4,508	80,416	18
Tustin, California	7,256	80,395	11
Lynchburg, Virginia	1,633	80,212	49
Lawrence, Massachusetts	11,574	80,209	7
Deerfield Beach, Florida	5,286	79,764	15
Brooklyn Park, Minnesota	3,057	79,707	26
New Rochelle, New York	7,687	79,557	10
Parma, Ohio	3,967	79,425	20
Alameda, California	7,437	78,906	11
Chino Hills, California	1,764	78,822	45
Springdale, Arkansas	1,879	78,557	42
Bloomington, Illinois	2,866	78,005	27
Bellflower, California	12,711	77,790	6
Racine, Wisconsin	5,011	77,571	15
Milpitas, California	5,705	77,528	14
Auburn, Washington	2,616	77,472	30
Pharr, Texas	3,301	77,320	23
Scranton, Pennsylvania	3,054	77,291	25
Folsom, California	3,520	77,271	22
Goodyear, Arizona	403	77,258	191
Plymouth, Minnesota	2,363	77,216	33
Fort Myers, Florida	1,931	77,146	40
Hammond, Indiana	3,386	77,134	23
Manteca, California	4,338	76,908	18
Loveland, Colorado	2,289	76,897	34
Lake Charles, Louisiana	1,827	76,848	42
Upland, California	4,909	76,684	16
St. Joseph, Missouri	1,738	76,472	44
Baldwin Park, California	11,533	76,464	7
Gary, Indiana	1,532	76,424	50
Perris, California	2,432	76,331	31
Baytown, Texas	2,144	75,992	35
Kalamazoo, Michigan	3,079	75,984	25
Layton, Utah	3,439	75,655	22
San Ramon, California	4,188	75,639	18
Boynton Beach, Florida	4,673	75,569	16
Wyoming, Michigan	3,067	75,567	25
Gastonia, North Carolina	1,496	75,536	51
Arlington Heights, Illinois	4,547	75,525	17
Union City, California	3,869	75,322	19
Bethlehem, Pennsylvania	3,942	75,293	19
Evanston, Illinois	9,627	74,895	8
Jonesboro, Arkansas	938	74,889	80
Franklin, Tennessee	1,814	74,794	41
Missouri City, Texas	2,624	74,561	28
Bolingbrook, Illinois	3,098	74,518	24
Schaumburg, Illinois	3,873	74,446	19
Camden, New Jersey	8,343	74,420	9
Iowa City, Iowa	2,975	74,398	25
Warner Robins, Georgia	2,121	74,388	35
